CMDLINE /opt/anaconda3/envs/aas2/bin/python /Users/noemivalentini/Desktop/deep_ga/cartpole/a2c/cartpole_a2c.py
MEM 322.683594 1706267931.1628
MEM 322.703125 1706267931.2670
MEM 322.703125 1706267931.3697
MEM 322.703125 1706267931.4704
MEM 322.703125 1706267931.5707
MEM 322.750000 1706267931.6712
MEM 322.750000 1706267931.7734
MEM 322.753906 1706267931.8740
MEM 322.753906 1706267931.9744
MEM 322.773438 1706267932.0776
MEM 322.773438 1706267932.1787
MEM 322.773438 1706267932.2839
MEM 322.996094 1706267932.3889
MEM 322.996094 1706267932.4893
MEM 323.527344 1706267932.5907
MEM 323.527344 1706267932.6926
MEM 323.527344 1706267932.7938
MEM 323.593750 1706267932.8990
MEM 323.882812 1706267933.0216
MEM 323.882812 1706267933.1235
MEM 323.882812 1706267933.2259
MEM 324.328125 1706267933.3298
MEM 324.351562 1706267933.4301
MEM 324.535156 1706267933.5338
MEM 324.941406 1706267933.6348
MEM 324.945312 1706267933.7365
MEM 324.957031 1706267933.8414
MEM 324.980469 1706267933.9452
MEM 324.980469 1706267934.0491
MEM 324.980469 1706267934.1525
MEM 324.980469 1706267934.2536
MEM 324.980469 1706267934.3579
MEM 325.187500 1706267934.4612
MEM 325.281250 1706267934.5663
MEM 325.281250 1706267934.6687
MEM 325.648438 1706267934.7733
MEM 325.617188 1706267934.8784
MEM 325.625000 1706267934.9835
MEM 325.832031 1706267935.0854
MEM 325.855469 1706267935.1862
MEM 326.011719 1706267935.2864
MEM 326.070312 1706267935.3902
MEM 326.183594 1706267935.4908
MEM 326.667969 1706267935.5918
MEM 326.707031 1706267935.6970
MEM 327.230469 1706267935.7985
MEM 327.265625 1706267935.9015
MEM 327.265625 1706267936.0037
MEM 327.269531 1706267936.1048
MEM 327.269531 1706267936.2100
MEM 327.269531 1706267936.3165
MEM 327.355469 1706267936.4231
MEM 327.355469 1706267936.5272
MEM 327.355469 1706267936.6455
MEM 327.355469 1706267936.7494
MEM 327.355469 1706267936.8498
MEM 327.363281 1706267936.9534
MEM 327.363281 1706267937.0537
MEM 327.363281 1706267937.1589
MEM 327.605469 1706267937.2641
MEM 327.605469 1706267937.3644
MEM 327.968750 1706267937.4665
MEM 327.968750 1706267937.5668
MEM 327.972656 1706267937.6690
MEM 328.031250 1706267937.7696
MEM 328.031250 1706267937.8700
MEM 328.031250 1706267937.9703
MEM 328.410156 1706267938.0755
MEM 328.460938 1706267938.1798
MEM 328.539062 1706267938.2851
MEM 328.945312 1706267938.3855
MEM 328.960938 1706267938.4907
MEM 329.109375 1706267938.5910
MEM 329.035156 1706267938.6962
MEM 329.035156 1706267938.7992
MEM 329.035156 1706267938.9018
MEM 329.035156 1706267939.0026
MEM 329.121094 1706267939.1078
MEM 329.089844 1706267939.2092
MEM 329.089844 1706267939.3098
MEM 329.089844 1706267939.4127
MEM 329.277344 1706267939.5149
MEM 329.277344 1706267939.6160
MEM 329.277344 1706267939.7189
MEM 329.550781 1706267939.8230
MEM 329.550781 1706267939.9282
MEM 329.550781 1706267940.0286
MEM 329.968750 1706267940.1338
MEM 329.968750 1706267940.2351
MEM 330.355469 1706267940.3359
MEM 330.386719 1706267940.4411
MEM 330.882812 1706267940.5443
MEM 330.875000 1706267940.6493
MEM 330.875000 1706267940.7536
MEM 330.890625 1706267940.8587
MEM 330.890625 1706267940.9625
MEM 330.921875 1706267941.0642
MEM 330.890625 1706267941.1689
MEM 330.890625 1706267941.2741
MEM 331.015625 1706267941.3781
MEM 331.015625 1706267941.4832
MEM 331.015625 1706267941.5838
MEM 331.015625 1706267941.6914
MEM 331.015625 1706267941.7935
MEM 331.152344 1706267941.8971
MEM 331.152344 1706267942.0023
MEM 331.312500 1706267942.1025
MEM 331.312500 1706267942.2077
MEM 331.417969 1706267942.3085
MEM 331.925781 1706267942.4087
MEM 331.925781 1706267942.5115
MEM 332.171875 1706267942.6130
MEM 332.335938 1706267942.7151
MEM 332.335938 1706267942.8196
MEM 332.648438 1706267942.9207
MEM 332.812500 1706267943.0216
MEM 332.863281 1706267943.1269
MEM 333.371094 1706267943.2290
MEM 333.378906 1706267943.4095
MEM 333.378906 1706267943.5110
MEM 333.394531 1706267943.6115
MEM 333.394531 1706267943.7167
MEM 333.394531 1706267943.8192
MEM 333.394531 1706267943.9226
MEM 333.394531 1706267944.0234
MEM 333.394531 1706267944.1265
MEM 333.394531 1706267944.2270
MEM 333.394531 1706267944.3328
MEM 333.617188 1706267944.4341
MEM 333.617188 1706267944.5343
MEM 333.617188 1706267944.6360
MEM 333.753906 1706267944.7369
MEM 333.753906 1706267944.8372
MEM 333.753906 1706267944.9377
MEM 334.117188 1706267945.0382
MEM 334.097656 1706267945.1396
MEM 334.097656 1706267945.2443
MEM 334.417969 1706267945.3494
MEM 334.417969 1706267945.4557
MEM 334.417969 1706267945.5566
MEM 334.714844 1706267945.6575
MEM 334.683594 1706267945.7611
MEM 334.722656 1706267945.8623
MEM 335.101562 1706267945.9650
MEM 335.164062 1706267946.0715
MEM 335.187500 1706267946.1721
MEM 335.187500 1706267946.2724
MEM 335.234375 1706267946.3729
MEM 335.234375 1706267946.4933
MEM 335.234375 1706267946.6149
MEM 335.234375 1706267946.7158
MEM 335.246094 1706267946.8191
MEM 335.246094 1706267946.9224
MEM 335.246094 1706267947.0262
MEM 335.398438 1706267947.1286
MEM 335.398438 1706267947.2300
MEM 335.398438 1706267947.3344
MEM 335.625000 1706267947.4396
MEM 335.625000 1706267947.5444
MEM 335.902344 1706267947.6495
MEM 335.902344 1706267947.7546
MEM 335.914062 1706267947.8581
MEM 336.421875 1706267947.9620
MEM 336.386719 1706267948.0630
MEM 336.386719 1706267948.1636
MEM 336.632812 1706267948.2653
MEM 336.843750 1706267948.3691
MEM 336.945312 1706267948.4743
MEM 337.523438 1706267948.5754
MEM 337.539062 1706267948.6773
MEM 337.539062 1706267948.7775
MEM 337.539062 1706267948.8781
MEM 337.539062 1706267948.9788
MEM 337.597656 1706267949.0821
MEM 337.566406 1706267949.1845
MEM 337.566406 1706267949.2849
MEM 337.597656 1706267949.3851
MEM 337.566406 1706267949.4859
MEM 337.566406 1706267949.5901
MEM 337.863281 1706267949.6904
MEM 337.796875 1706267949.7944
MEM 337.796875 1706267949.9000
MEM 338.027344 1706267950.0050
MEM 338.027344 1706267950.1076
MEM 338.105469 1706267950.2124
MEM 338.386719 1706267950.3153
MEM 338.386719 1706267950.4191
MEM 338.625000 1706267950.5210
MEM 338.914062 1706267950.6242
MEM 338.964844 1706267950.7292
MEM 339.445312 1706267950.8322
MEM 339.464844 1706267950.9374
MEM 339.496094 1706267951.0387
MEM 339.464844 1706267951.1392
MEM 339.464844 1706267951.2395
MEM 339.550781 1706267951.3397
MEM 339.523438 1706267951.4416
MEM 339.523438 1706267951.5443
MEM 339.601562 1706267951.6497
MEM 339.644531 1706267951.7553
MEM 339.644531 1706267951.8597
MEM 339.867188 1706267951.9613
MEM 339.835938 1706267952.0630
MEM 339.835938 1706267952.1659
MEM 340.128906 1706267952.2694
MEM 340.121094 1706267952.3718
MEM 340.121094 1706267952.4723
MEM 340.632812 1706267952.5772
MEM 340.632812 1706267952.6826
MEM 341.167969 1706267952.7876
MEM 341.160156 1706267952.8912
MEM 341.218750 1706267952.9917
MEM 341.496094 1706267953.0936
