CMDLINE /opt/anaconda3/envs/aas2/bin/python /Users/noemivalentini/Desktop/deep_ga/cartpole/ga/cart_run_ga.py
MEM 266.453125 1706233171.2530
MEM 266.453125 1706233171.3582
MEM 266.453125 1706233171.4634
MEM 266.453125 1706233171.5686
MEM 266.453125 1706233171.6708
MEM 266.453125 1706233171.7746
MEM 266.453125 1706233171.8798
MEM 266.453125 1706233171.9824
MEM 266.453125 1706233172.0876
MEM 266.453125 1706233172.1885
MEM 266.453125 1706233172.2936
MEM 266.453125 1706233172.3988
MEM 266.453125 1706233172.5034
MEM 266.453125 1706233172.6086
MEM 266.453125 1706233172.7138
MEM 266.453125 1706233172.8160
MEM 266.453125 1706233172.9212
MEM 266.453125 1706233173.0248
MEM 266.453125 1706233173.1250
MEM 266.453125 1706233173.2256
MEM 266.453125 1706233173.3308
MEM 266.453125 1706233173.4360
MEM 266.453125 1706233173.5383
MEM 266.453125 1706233173.6408
MEM 266.453125 1706233173.7447
MEM 266.453125 1706233173.8500
MEM 266.453125 1706233173.9552
MEM 266.492188 1706233174.0591
MEM 266.492188 1706233174.1643
MEM 266.492188 1706233174.2656
MEM 266.492188 1706233174.3682
MEM 266.492188 1706233174.4694
MEM 266.492188 1706233174.5696
MEM 266.492188 1706233174.6748
MEM 266.492188 1706233174.7800
MEM 266.492188 1706233174.8852
MEM 266.492188 1706233174.9884
MEM 266.492188 1706233175.0936
MEM 266.492188 1706233175.1945
MEM 266.492188 1706233175.2997
MEM 266.492188 1706233175.4032
MEM 266.492188 1706233175.5084
MEM 266.492188 1706233175.6136
MEM 266.492188 1706233175.7184
MEM 266.492188 1706233175.8237
MEM 266.492188 1706233175.9248
MEM 266.492188 1706233176.0250
MEM 266.492188 1706233176.1298
MEM 266.492188 1706233176.2350
MEM 266.492188 1706233176.3384
MEM 266.492188 1706233176.4397
MEM 266.492188 1706233176.5449
MEM 266.492188 1706233176.6501
MEM 266.492188 1706233176.7532
MEM 266.492188 1706233176.8584
MEM 266.492188 1706233176.9636
MEM 266.492188 1706233177.0642
MEM 266.492188 1706233177.1678
MEM 266.492188 1706233177.2713
MEM 266.492188 1706233177.3748
MEM 266.492188 1706233177.4800
MEM 266.492188 1706233177.5842
MEM 266.492188 1706233177.6888
MEM 266.492188 1706233177.7940
