CMDLINE /opt/anaconda3/envs/aas2/bin/python /Users/noemivalentini/Desktop/deep_ga/cartpole/dqn/cartpole_dqn.py
MEM 320.222656 1706089558.6636
MEM 320.226562 1706089558.7646
MEM 320.261719 1706089558.8666
MEM 320.593750 1706089558.9679
MEM 320.632812 1706089559.0748
MEM 320.667969 1706089559.1768
MEM 320.671875 1706089559.2788
MEM 320.761719 1706089559.3861
MEM 320.679688 1706089559.4867
MEM 320.679688 1706089559.6018
MEM 320.679688 1706089559.7032
MEM 320.679688 1706089559.8101
MEM 320.679688 1706089559.9112
MEM 320.804688 1706089560.0156
MEM 320.804688 1706089560.1206
MEM 320.835938 1706089560.2220
MEM 320.804688 1706089560.3300
MEM 320.804688 1706089560.4304
MEM 320.804688 1706089560.5384
MEM 320.804688 1706089560.6419
MEM 321.117188 1706089560.7469
MEM 321.085938 1706089560.8513
MEM 321.097656 1706089560.9563
MEM 321.519531 1706089561.0711
MEM 321.488281 1706089561.1737
MEM 321.488281 1706089561.2782
MEM 321.488281 1706089561.3829
MEM 321.488281 1706089561.4881
MEM 321.488281 1706089561.5963
MEM 321.859375 1706089561.7006
MEM 321.859375 1706089561.8057
MEM 322.183594 1706089561.9101
MEM 322.484375 1706089562.0123
MEM 322.636719 1706089562.1129
MEM 322.730469 1706089562.2159
MEM 322.761719 1706089562.3594
MEM 322.800781 1706089562.4600
MEM 322.800781 1706089562.5647
MEM 322.800781 1706089562.6659
MEM 322.800781 1706089562.7690
MEM 322.984375 1706089562.8716
MEM 322.945312 1706089562.9766
MEM 322.945312 1706089563.0797
MEM 323.460938 1706089563.1811
MEM 323.460938 1706089563.2873
MEM 323.542969 1706089563.3901
MEM 323.582031 1706089563.4904
MEM 323.992188 1706089563.5923
MEM 323.992188 1706089563.6925
MEM 324.332031 1706089563.7932
MEM 324.480469 1706089563.8962
MEM 324.707031 1706089563.9984
MEM 324.777344 1706089564.0991
MEM 324.812500 1706089564.1995
MEM 324.812500 1706089564.3014
MEM 324.812500 1706089564.4047
MEM 324.843750 1706089564.5051
MEM 325.062500 1706089564.6101
MEM 325.062500 1706089564.7116
MEM 325.125000 1706089564.8162
MEM 325.125000 1706089564.9164
MEM 325.472656 1706089565.0169
MEM 325.476562 1706089565.1173
MEM 325.613281 1706089565.2207
MEM 325.832031 1706089565.3227
MEM 326.390625 1706089565.4266
MEM 326.398438 1706089565.5319
MEM 326.843750 1706089565.6331
MEM 326.957031 1706089565.7355
MEM 326.957031 1706089565.8405
MEM 327.046875 1706089565.9442
MEM 327.019531 1706089566.0494
MEM 327.121094 1706089566.1546
MEM 327.121094 1706089566.2585
MEM 327.468750 1706089566.3602
MEM 327.468750 1706089566.4607
MEM 327.683594 1706089566.5623
MEM 327.683594 1706089566.6659
MEM 327.875000 1706089566.7671
MEM 327.878906 1706089566.8686
MEM 328.054688 1706089566.9726
MEM 328.339844 1706089567.0766
MEM 328.839844 1706089567.1773
MEM 328.867188 1706089567.2805
MEM 328.921875 1706089567.3834
MEM 328.957031 1706089567.4879
MEM 329.105469 1706089567.5884
MEM 329.046875 1706089567.6907
MEM 329.136719 1706089567.7923
MEM 329.136719 1706089567.8974
MEM 329.312500 1706089567.9977
MEM 329.335938 1706089568.1015
MEM 329.730469 1706089568.2020
MEM 329.730469 1706089568.3104
MEM 329.937500 1706089568.4124
MEM 329.945312 1706089568.5128
MEM 330.253906 1706089568.6166
